Segment,Frequency,Year,Quarter,Month,City,TOM_4q,Share_closed_2w_4q
EFH,quarterly,2022,3,,Bochum,42.846299171447754,0.4299735799431801
EFH,quarterly,2022,4,,Bochum,41.361374855041504,0.3883589506149292
EFH,quarterly,2023,1,,Bochum,54.547743797302246,0.2762788496911526
EFH,quarterly,2023,2,,Bochum,67.79851245880127,0.18307774513959885
EFH,quarterly,2023,3,,Bochum,74.6579418182373,0.16172681376338005
EFH,quarterly,2023,4,,Bochum,83.58589363098145,0.15007267892360687
EFH,quarterly,2024,1,,Bochum,86.86441993713379,0.14783654361963272
EFH,quarterly,2024,2,,Bochum,92.12379455566406,0.14739011600613594
EFH,quarterly,2024,3,,Bochum,92.74303436279297,0.13379972241818905
EFH,quarterly,2024,4,,Bochum,87.96694755554199,0.14420193992555141
EFH,quarterly,2025,1,,Bochum,83.94497108459473,0.15244369767606258
EFH,quarterly,2025,2,,Bochum,75.06910705566406,0.16575670428574085
EFH,quarterly,2025,3,,Bochum,76.55412292480469,0.18584060296416283
EFH,quarterly,2025,4,,Bochum,79.7403335571289,0.18073972314596176
EFH,quarterly,2026,1,,Bochum,78.04152870178223,0.17429066449403763
EFH,quarterly,2012,1,,Bonn,,
EFH,quarterly,2012,2,,Bonn,,
EFH,quarterly,2012,3,,Bonn,,
EFH,quarterly,2012,4,,Bonn,85.6309700012207,0.19741348549723625
EFH,quarterly,2013,1,,Bonn,93.79142761230469,0.16571413725614548
EFH,quarterly,2013,2,,Bonn,92.47013854980469,0.16007350757718086
EFH,quarterly,2013,3,,Bonn,98.15769386291504,0.16235914453864098
EFH,quarterly,2013,4,,Bonn,97.4451847076416,0.1661137342453003
EFH,quarterly,2014,1,,Bonn,92.2087287902832,0.1699473187327385
EFH,quarterly,2014,2,,Bonn,86.84611701965332,0.1798122189939022
EFH,quarterly,2014,3,,Bonn,80.99689292907715,0.1793910562992096
EFH,quarterly,2014,4,,Bonn,76.20418930053711,0.2076306752860546
EFH,quarterly,2015,1,,Bonn,77.32252502441406,0.22551191598176956
EFH,quarterly,2015,2,,Bonn,80.7335319519043,0.24033723771572113
EFH,quarterly,2015,3,,Bonn,76.68458938598633,0.25023161619901657
EFH,quarterly,2015,4,,Bonn,75.64121437072754,0.2362515740096569
EFH,quarterly,2016,1,,Bonn,74.44152450561523,0.23557433113455772
EFH,quarterly,2016,2,,Bonn,75.7763614654541,0.223602045327425
EFH,quarterly,2016,3,,Bonn,77.76880836486816,0.2502720095217228
EFH,quarterly,2016,4,,Bonn,79.96844673156738,0.25788070634007454
EFH,quarterly,2017,1,,Bonn,75.36140727996826,0.2538124807178974
EFH,quarterly,2017,2,,Bonn,68.20635986328125,0.2615152858197689
EFH,quarterly,2017,3,,Bonn,69.3034439086914,0.23116733133792877
EFH,quarterly,2017,4,,Bonn,69.44693946838379,0.23173220455646515
EFH,quarterly,2018,1,,Bonn,71.745680809021,0.2444663941860199
EFH,quarterly,2018,2,,Bonn,71.39866542816162,0.24314437434077263
EFH,quarterly,2018,3,,Bonn,66.21619415283203,0.2738034278154373
EFH,quarterly,2018,4,,Bonn,64.18213081359863,0.27475252747535706
EFH,quarterly,2019,1,,Bonn,68.60970878601074,0.24995094165205956
EFH,quarterly,2019,2,,Bonn,73.75486278533936,0.25640975683927536
EFH,quarterly,2019,3,,Bonn,74.31790733337402,0.2658166438341141
EFH,quarterly,2019,4,,Bonn,74.48085403442383,0.2680487893521786
EFH,quarterly,2020,1,,Bonn,69.029465675354,0.3140557333827019
EFH,quarterly,2020,2,,Bonn,67.40999507904053,0.3027678579092026
EFH,quarterly,2020,3,,Bonn,64.50640869140625,0.29921672493219376
EFH,quarterly,2020,4,,Bonn,59.877923011779785,0.31479156017303467
EFH,quarterly,2021,1,,Bonn,57.03450965881348,0.31000325083732605
EFH,quarterly,2021,2,,Bonn,49.34154415130615,0.38635917752981186
EFH,quarterly,2021,3,,Bonn,53.08141899108887,0.40653691440820694
EFH,quarterly,2021,4,,Bonn,53.47016143798828,0.3939853608608246
EFH,quarterly,2022,1,,Bonn,55.581321716308594,0.39289018511772156
EFH,quarterly,2022,2,,Bonn,58.09735584259033,0.36948880553245544
EFH,quarterly,2022,3,,Bonn,56.25027370452881,0.31626680865883827
EFH,quarterly,2022,4,,Bonn,60.660701751708984,0.2910709083080292
EFH,quarterly,2023,1,,Bonn,73.28618431091309,0.22924606129527092
EFH,quarterly,2023,2,,Bonn,83.66002082824707,0.17605341970920563
EFH,quarterly,2023,3,,Bonn,94.29620552062988,0.16471131145954132
EFH,quarterly,2023,4,,Bonn,100.63334083557129,0.14999736659228802
EFH,quarterly,2024,1,,Bonn,97.94844436645508,0.14739319868385792
EFH,quarterly,2024,2,,Bonn,100.24674415588379,0.1266449000686407
EFH,quarterly,2024,3,,Bonn,101.59302520751953,0.1299672145396471
EFH,quarterly,2024,4,,Bonn,94.6487808227539,0.14435570314526558
EFH,quarterly,2025,1,,Bonn,92.50859832763672,0.1660718061029911
EFH,quarterly,2025,2,,Bonn,89.59049987792969,0.175917848944664
EFH,quarterly,2025,3,,Bonn,83.1249885559082,0.18427502363920212
EFH,quarterly,2025,4,,Bonn,89.84109306335449,0.18354227766394615
EFH,quarterly,2026,1,,Bonn,94.55703353881836,0.17224284261465073
EFH,quarterly,2012,1,,Chemnitz,,
EFH,quarterly,2012,2,,Chemnitz,,
EFH,quarterly,2012,3,,Chemnitz,,
EFH,quarterly,2012,4,,Chemnitz,79.71911811828613,0.1318979635834694
EFH,quarterly,2013,1,,Chemnitz,93.4687557220459,0.10707912594079971
EFH,quarterly,2013,2,,Chemnitz,93.89307022094727,0.11060853861272335
EFH,quarterly,2013,3,,Chemnitz,98.98397827148438,0.11515399254858494
EFH,quarterly,2013,4,,Chemnitz,106.14485740661621,0.100107696140185
EFH,quarterly,2014,1,,Chemnitz,107.91152381896973,0.07927436218596995
EFH,quarterly,2014,2,,Chemnitz,104.44387626647949,0.09371963166631758
EFH,quarterly,2014,3,,Chemnitz,101.25382041931152,0.10707190283574164
EFH,quarterly,2014,4,,Chemnitz,106.43908500671387,0.12072296813130379
EFH,quarterly,2015,1,,Chemnitz,115.36286735534668,0.1414546761661768
EFH,quarterly,2015,2,,Chemnitz,124.28559303283691,0.14893454127013683
EFH,quarterly,2015,3,,Chemnitz,118.31807327270508,0.1992186363786459
EFH,quarterly,2015,4,,Chemnitz,112.16221618652344,0.22291167452931404
EFH,quarterly,2016,1,,Chemnitz,100.55986213684082,0.2262871079146862
EFH,quarterly,2016,2,,Chemnitz,82.39408111572266,0.24680478498339653
EFH,quarterly,2016,3,,Chemnitz,92.49674034118652,0.20691610127687454
EFH,quarterly,2016,4,,Chemnitz,94.73821258544922,0.20719566568732262
